lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,is_family,has_agent,has_company,adr_per_guest,prev_cancel_ratio,hotel,arrival_date_month,arrival_weekday,meal,country,market_segment,distribution_channel,reserved_room_type,deposit_type,customer_type,agent,company,is_canceled
45,2016,11,8,0,1,2,0,0,0,0,0,0,0,67.5,0,0,1,2,0,1,0,33.75,0.0,City Hotel,March,Tuesday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
132,2016,21,16,3,6,2,0,0,0,0,0,0,0,66.8,0,0,9,2,0,1,0,33.4,0.0,Resort Hotel,May,Monday,HB,MYS,Offline TA/TO,TA/TO,A,No Deposit,Transient,177.0,,0
31,2016,53,30,0,2,1,0,0,1,0,1,3,0,222.5,0,0,2,1,0,0,0,222.5,0.0,Resort Hotel,December,Friday,HB,PRT,Groups,Direct,A,No Deposit,Transient-Party,,,0
124,2016,43,22,2,2,2,0,0,0,0,0,1,0,95.0,1,0,4,2,0,0,0,47.5,0.0,Resort Hotel,October,Saturday,BB,SWE,Groups,Corporate,F,No Deposit,Transient-Party,,,0
1,2016,13,22,0,1,2,0,0,0,0,0,0,0,58.0,0,0,1,2,0,0,0,29.0,0.0,Resort Hotel,March,Tuesday,BB,GBR,Direct,Direct,A,No Deposit,Transient,,,0
64,2016,38,16,0,2,3,0,0,0,0,0,0,0,168.3,0,1,2,3,0,1,0,56.1,0.0,City Hotel,September,Friday,BB,ESP,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
157,2016,46,6,2,2,1,0,0,0,0,0,0,0,117.68,0,2,4,1,0,1,0,117.68,0.0,City Hotel,November,Sunday,BB,POL,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
1,2015,37,7,1,0,1,0,0,0,0,0,0,0,133.0,0,1,1,1,0,1,0,133.0,0.0,City Hotel,September,Monday,BB,MEX,Online TA,TA/TO,A,No Deposit,Contract,9.0,,0
42,2016,13,21,1,2,2,0,0,0,0,0,0,0,63.0,0,0,3,2,0,1,0,31.5,0.0,City Hotel,March,Monday,BB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,22.0,,1
220,2016,24,11,2,5,2,0,0,0,0,0,2,0,81.0,0,1,7,2,0,1,0,40.5,0.0,Resort Hotel,June,Saturday,HB,IRL,Offline TA/TO,TA/TO,A,No Deposit,Transient,171.0,,0
75,2016,20,9,1,1,2,0,0,0,0,0,0,0,116.1,0,0,2,2,0,1,0,58.05,0.0,City Hotel,May,Monday,SC,LUX,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
96,2015,34,22,2,5,2,0,0,0,0,0,0,0,76.5,0,0,7,2,0,1,0,38.25,0.0,City Hotel,August,Saturday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
81,2017,35,28,1,2,1,0,0,1,0,2,1,0,125.0,0,0,3,1,0,1,0,125.0,0.0,City Hotel,August,Monday,BB,DEU,Online TA,TA/TO,A,No Deposit,Transient,10.0,,0
63,2016,45,4,0,2,2,0,0,0,0,0,0,0,97.2,0,1,2,2,0,1,0,48.6,0.0,City Hotel,November,Friday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
116,2017,19,7,2,5,2,0,0,0,0,0,0,0,69.95,0,0,7,2,0,1,0,34.975,0.0,Resort Hotel,May,Sunday,HB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,479.0,,0
31,2016,8,20,1,1,2,0,0,0,0,0,0,0,72.8,0,2,2,2,0,1,0,36.4,0.0,City Hotel,February,Saturday,BB,IRL,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
180,2017,33,16,0,2,1,1,0,0,0,0,0,0,121.0,0,0,2,2,1,1,0,60.5,0.0,City Hotel,August,Wednesday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,8.0,,1
363,2016,42,11,0,5,1,0,0,0,0,0,1,0,58.0,0,0,5,1,0,0,0,58.0,0.0,Resort Hotel,October,Tuesday,HB,RUS,Groups,Corporate,D,No Deposit,Transient-Party,,,0
107,2015,37,9,0,2,2,0,0,0,0,0,0,0,89.25,0,1,2,2,0,1,0,44.625,0.0,City Hotel,September,Wednesday,BB,NLD,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
6,2017,11,15,0,1,1,0,0,0,0,0,0,0,65.0,0,1,1,1,0,0,1,65.0,0.0,City Hotel,March,Wednesday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,443.0,0
79,2016,44,28,0,1,2,0,0,0,0,0,0,0,0.0,0,1,1,2,0,1,0,0.0,0.0,Resort Hotel,October,Friday,BB,PRT,Complementary,TA/TO,F,No Deposit,Transient,127.0,,1
243,2017,8,19,2,2,2,0,0,0,0,0,0,0,97.75,0,4,4,2,0,1,0,48.875,0.0,City Hotel,February,Sunday,BB,GBR,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
137,2016,40,26,2,5,2,0,0,0,0,0,0,0,104.0,0,0,7,2,0,1,0,52.0,0.0,Resort Hotel,September,Monday,BB,GBR,Online TA,TA/TO,D,No Deposit,Transient,240.0,,1
11,2016,49,29,0,1,1,0,0,0,0,0,0,0,103.0,0,2,1,1,0,1,0,103.0,0.0,City Hotel,November,Tuesday,BB,ESP,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
181,2017,35,30,0,4,2,0,0,0,0,0,0,0,119.25,0,2,4,2,0,1,0,59.625,0.0,City Hotel,August,Wednesday,SC,JPN,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
0,2017,22,1,0,1,2,0,0,0,0,0,0,0,92.98,0,0,1,2,0,1,0,46.49,0.0,City Hotel,June,Thursday,SC,USA,Online TA,TA/TO,A,No Deposit,Transient,152.0,,0
2,2016,18,26,0,2,2,0,0,0,0,0,1,0,129.0,0,0,2,2,0,0,0,64.5,0.0,City Hotel,April,Tuesday,BB,ITA,Direct,Direct,A,No Deposit,Transient,,,0
48,2016,8,20,1,1,2,0,0,0,0,0,0,0,57.28,0,1,2,2,0,1,0,28.64,0.0,City Hotel,February,Saturday,BB,DEU,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
28,2016,27,27,1,3,3,0,0,0,0,0,0,0,175.4,0,0,4,3,0,1,0,58.46666666666667,0.0,City Hotel,June,Monday,BB,BRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
7,2017,9,2,1,3,2,0,0,0,0,0,0,0,47.0,0,0,4,2,0,0,1,23.5,0.0,Resort Hotel,March,Thursday,BB,NLD,Groups,Corporate,D,No Deposit,Transient-Party,,223.0,0
222,2017,16,17,1,3,2,1,0,0,0,0,1,0,166.0,0,0,4,3,1,1,0,55.333333333333336,0.0,City Hotel,April,Monday,BB,DEU,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
39,2015,53,27,2,2,2,1,0,0,0,0,2,0,99.86,0,1,4,3,1,1,0,33.28666666666667,0.0,City Hotel,December,Sunday,BB,BRA,Online TA,TA/TO,B,No Deposit,Contract,9.0,,0
4,2016,13,21,1,2,2,1,0,0,0,0,0,0,128.0,0,1,3,3,1,1,0,42.666666666666664,0.0,City Hotel,March,Monday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
38,2017,1,3,2,8,2,0,0,1,0,1,1,0,89.06,1,0,10,2,0,1,0,44.53,0.0,Resort Hotel,January,Tuesday,HB,FRA,Direct,Direct,F,No Deposit,Transient,250.0,,0
6,2017,4,24,0,2,2,0,0,0,0,0,0,0,48.0,0,1,2,2,0,1,0,24.0,0.0,Resort Hotel,January,Tuesday,BB,ESP,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
129,2016,35,25,0,2,3,0,0,0,0,0,0,0,128.7,0,0,2,3,0,1,0,42.9,0.0,City Hotel,August,Thursday,BB,ESP,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
38,2015,43,20,0,5,2,0,0,0,0,0,0,0,96.3,0,0,5,2,0,1,0,48.15,0.0,City Hotel,October,Tuesday,BB,ESP,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
183,2017,31,5,2,5,2,0,0,0,0,0,0,0,95.46,0,1,7,2,0,1,0,47.73,0.0,City Hotel,August,Saturday,BB,ITA,Online TA,TA/TO,A,No Deposit,Transient,7.0,,0
224,2017,32,9,2,6,2,1,0,0,0,0,0,0,148.5,0,1,8,3,1,1,0,49.5,0.0,City Hotel,August,Wednesday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
56,2017,11,12,2,1,1,0,0,0,0,0,0,0,62.0,1,1,3,1,0,1,0,62.0,0.0,Resort Hotel,March,Sunday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
151,2017,31,4,1,2,3,0,0,0,0,0,0,0,175.5,0,0,3,3,0,1,0,58.5,0.0,City Hotel,August,Friday,BB,IRL,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
73,2015,29,14,1,5,2,0,0,0,0,0,0,0,127.0,0,1,6,2,0,0,0,63.5,0.0,Resort Hotel,July,Tuesday,HB,PRT,Direct,Direct,A,No Deposit,Transient-Party,,,0
0,2016,35,26,0,1,2,0,0,0,0,0,0,0,194.0,0,0,1,2,0,1,0,97.0,0.0,Resort Hotel,August,Friday,BB,CHN,Online TA,TA/TO,D,No Deposit,Transient,240.0,,0
155,2017,30,24,2,5,2,1,0,0,0,0,0,0,133.38,0,2,7,3,1,1,0,44.46,0.0,City Hotel,July,Monday,BB,AUT,Online TA,TA/TO,D,No Deposit,Transient,7.0,,0
240,2017,21,25,0,3,2,0,0,0,0,0,0,0,138.6,0,1,3,2,0,1,0,69.3,0.0,City Hotel,May,Thursday,BB,BEL,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
59,2016,5,28,0,1,1,0,0,0,0,0,0,0,80.0,0,0,1,1,0,1,0,80.0,0.0,City Hotel,January,Thursday,BB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,87.0,,0
158,2017,26,29,2,3,3,0,0,0,0,0,0,0,156.06,0,0,5,3,0,1,0,52.02,0.0,City Hotel,June,Thursday,BB,BRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
50,2016,3,14,0,3,2,0,0,0,0,0,0,43,52.0,0,2,3,2,0,1,0,26.0,0.0,City Hotel,January,Thursday,BB,FRA,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,20.0,,0
86,2016,33,8,1,3,2,2,0,0,0,0,0,0,276.0,1,0,4,4,1,1,0,69.0,0.0,Resort Hotel,August,Monday,BB,PRT,Online TA,TA/TO,G,No Deposit,Transient,240.0,,0
107,2016,16,15,2,2,2,0,0,0,0,0,0,0,95.2,0,1,4,2,0,1,0,47.6,0.0,City Hotel,April,Friday,BB,AUT,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
35,2016,40,26,1,1,2,1,0,0,0,0,0,0,133.2,0,1,2,3,1,1,0,44.4,0.0,City Hotel,September,Monday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
1,2017,13,28,0,2,1,0,0,0,0,0,0,0,35.0,0,0,2,1,0,0,1,35.0,0.0,Resort Hotel,March,Tuesday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,112.0,0
26,2017,19,8,1,3,1,0,0,1,0,3,0,0,65.0,0,0,4,1,0,1,0,65.0,0.0,Resort Hotel,May,Monday,BB,PRT,Corporate,Corporate,D,No Deposit,Transient,254.0,,0
7,2016,19,5,0,3,2,0,0,0,0,0,0,0,144.0,0,1,3,2,0,1,0,72.0,0.0,City Hotel,May,Thursday,BB,DEU,Offline TA/TO,TA/TO,A,No Deposit,Transient-Party,6.0,,0
36,2017,6,8,2,9,2,0,0,0,0,0,0,0,44.43,0,1,11,2,0,1,0,22.215,0.0,Resort Hotel,February,Wednesday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,241.0,,0
1,2016,21,18,0,2,1,0,0,0,0,0,0,0,42.0,0,0,2,1,0,0,1,42.0,0.0,Resort Hotel,May,Wednesday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,323.0,0
17,2017,28,15,1,1,2,1,0,0,0,0,0,0,160.0,0,1,2,3,1,1,0,53.333333333333336,0.0,City Hotel,July,Saturday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
191,2016,39,22,2,5,2,0,0,0,0,0,0,0,81.0,0,1,7,2,0,1,0,40.5,0.0,Resort Hotel,September,Thursday,BB,POL,Offline TA/TO,TA/TO,E,No Deposit,Transient,315.0,,0
61,2016,15,3,2,1,2,2,0,0,0,0,0,0,113.0,0,0,3,4,1,1,0,28.25,0.0,Resort Hotel,April,Sunday,BB,PRT,Online TA,TA/TO,G,No Deposit,Transient,240.0,,1
0,2016,11,8,0,1,1,0,0,0,0,0,0,0,75.0,1,0,1,1,0,0,1,75.0,0.0,City Hotel,March,Tuesday,BB,PRT,Corporate,Corporate,D,No Deposit,Transient,,180.0,0
158,2016,39,19,2,5,1,0,0,0,0,0,0,0,109.65,0,0,7,1,0,1,0,109.65,0.0,City Hotel,September,Monday,BB,FRA,Direct,Direct,A,No Deposit,Transient,14.0,,0
18,2017,34,23,0,4,2,0,0,0,0,0,0,0,134.75,0,1,4,2,0,1,0,67.375,0.0,City Hotel,August,Wednesday,SC,SWE,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
95,2015,27,4,2,4,2,0,0,0,0,0,0,0,85.8,1,2,6,2,0,1,0,42.9,0.0,Resort Hotel,July,Saturday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
92,2016,44,29,1,1,0,2,0,0,0,0,0,0,81.5,0,2,2,2,1,1,0,40.75,0.0,City Hotel,October,Saturday,BB,ESP,Online TA,TA/TO,B,No Deposit,Transient,9.0,,0
2,2017,34,25,0,2,2,0,0,0,0,0,0,0,196.25,0,2,2,2,0,1,0,98.125,0.0,Resort Hotel,August,Friday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,240.0,,0
0,2016,42,9,1,0,2,0,0,0,0,0,1,0,77.0,0,0,1,2,0,0,0,38.5,0.0,City Hotel,October,Sunday,BB,PRT,Direct,Direct,A,No Deposit,Transient,,,0
89,2017,6,10,1,2,2,0,0,0,0,0,3,0,46.0,0,0,3,2,0,1,0,23.0,0.0,Resort Hotel,February,Friday,BB,GBR,Online TA,TA/TO,A,No Deposit,Transient,240.0,,1
12,2015,29,18,2,2,1,0,0,0,0,0,1,0,60.0,0,0,4,1,0,1,0,60.0,0.0,City Hotel,July,Saturday,BB,PRT,Groups,TA/TO,A,No Deposit,Transient-Party,1.0,,0
9,2016,47,19,2,4,2,0,0,0,0,0,0,0,63.0,0,2,6,2,0,1,0,31.5,0.0,Resort Hotel,November,Saturday,BB,NOR,Online TA,TA/TO,E,No Deposit,Transient,240.0,,0
111,2016,33,13,2,5,3,0,0,0,0,0,0,0,159.3,0,1,7,3,0,1,0,53.1,0.0,City Hotel,August,Saturday,BB,FRA,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
61,2015,52,24,0,3,3,0,0,0,1,0,2,0,152.2,0,2,3,3,0,1,0,50.73333333333333,1.0,City Hotel,December,Thursday,HB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Group,13.0,,1
5,2017,33,14,1,1,2,1,0,0,0,0,0,0,220.0,0,2,2,3,1,1,0,73.33333333333333,0.0,City Hotel,August,Monday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
24,2017,29,20,0,2,2,0,0,0,0,0,0,0,124.0,0,1,2,2,0,1,0,62.0,0.0,City Hotel,July,Thursday,SC,BRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,1
5,2015,37,8,0,4,1,0,0,0,0,0,1,0,114.0,0,2,4,1,0,1,0,114.0,0.0,City Hotel,September,Tuesday,BB,PRT,Online TA,TA/TO,A,No Deposit,Contract,9.0,,0
75,2016,13,21,1,1,2,0,0,0,0,0,1,0,78.15,0,0,2,2,0,1,0,39.075,0.0,City Hotel,March,Monday,BB,USA,Online TA,TA/TO,B,No Deposit,Transient-Party,9.0,,0
156,2017,29,16,5,10,2,0,0,0,0,0,1,0,171.0,0,0,15,2,0,1,0,85.5,0.0,Resort Hotel,July,Sunday,HB,FRA,Offline TA/TO,TA/TO,D,No Deposit,Transient,134.0,,0
8,2016,1,2,0,1,2,0,0,0,0,0,0,0,62.0,1,2,1,2,0,1,0,31.0,0.0,Resort Hotel,January,Saturday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,240.0,,0
20,2016,16,12,0,2,1,0,0,0,0,0,1,0,90.0,0,0,2,1,0,1,0,90.0,0.0,City Hotel,April,Tuesday,BB,PRT,Offline TA/TO,TA/TO,A,No Deposit,Transient,85.0,,0
8,2017,8,19,2,4,1,0,0,0,0,0,0,0,100.3,0,0,6,1,0,1,0,100.3,0.0,City Hotel,February,Sunday,BB,ARE,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
80,2017,19,11,1,3,3,0,0,0,0,0,1,0,167.7,0,1,4,3,0,0,0,55.9,0.0,City Hotel,May,Thursday,HB,ARG,Direct,Direct,D,No Deposit,Transient-Party,,,0
6,2015,50,9,0,1,1,0,0,0,0,0,0,0,38.4,0,1,1,1,0,1,0,38.4,0.0,Resort Hotel,December,Wednesday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient-Party,240.0,,0
112,2017,32,10,0,3,2,0,0,0,0,0,0,0,155.0,0,0,3,2,0,1,0,77.5,0.0,City Hotel,August,Thursday,BB,ESP,Online TA,TA/TO,D,No Deposit,Transient,9.0,,0
116,2017,18,5,2,5,2,0,0,0,0,0,0,0,74.0,0,0,7,2,0,1,0,37.0,0.0,Resort Hotel,May,Friday,BB,GBR,Online TA,TA/TO,D,No Deposit,Transient,314.0,,0
11,2016,2,7,0,1,2,0,0,1,0,1,0,0,48.0,0,2,1,2,0,1,0,24.0,0.0,Resort Hotel,January,Thursday,BB,PRT,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
153,2016,30,18,1,4,2,0,1,0,0,0,1,0,203.5,0,3,5,3,1,1,0,67.83333333333333,0.0,Resort Hotel,July,Monday,Undefined,PRT,Direct,Direct,D,No Deposit,Transient,250.0,,0
8,2017,8,21,0,1,1,0,0,1,0,5,0,0,80.0,0,2,1,1,0,0,1,80.0,0.0,City Hotel,February,Tuesday,BB,FRA,Direct,Direct,A,No Deposit,Transient,,91.0,0
154,2017,25,22,1,3,3,0,0,0,0,0,0,0,123.97,0,1,4,3,0,1,0,41.32333333333333,0.0,Resort Hotel,June,Thursday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,241.0,,1
117,2017,23,10,4,10,2,1,0,0,0,0,0,0,166.43,0,1,14,3,1,1,0,55.47666666666667,0.0,Resort Hotel,June,Saturday,BB,GBR,Direct,Direct,F,No Deposit,Transient,250.0,,0
86,2017,30,24,1,1,2,0,0,0,0,0,0,0,120.0,0,1,2,2,0,1,0,60.0,0.0,City Hotel,July,Monday,SC,JPN,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
0,2017,12,21,0,3,2,0,0,0,0,0,1,0,114.0,0,1,3,2,0,1,0,57.0,0.0,City Hotel,March,Tuesday,BB,ECU,Direct,Direct,A,No Deposit,Transient,14.0,,0
17,2017,11,13,1,1,1,0,0,1,0,16,0,0,35.0,0,0,2,1,0,0,1,35.0,0.0,Resort Hotel,March,Monday,BB,PRT,Corporate,Corporate,A,No Deposit,Transient,,154.0,0
119,2017,33,18,2,3,3,0,0,0,0,0,3,0,195.0,0,0,5,3,0,1,0,65.0,0.0,City Hotel,August,Friday,BB,ESP,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
7,2015,33,15,1,1,2,0,0,0,0,0,0,0,85.0,1,0,2,2,0,1,0,42.5,0.0,City Hotel,August,Saturday,SC,PRT,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
158,2016,39,24,2,3,2,0,0,0,0,0,4,0,113.8,0,3,5,2,0,1,0,56.9,0.0,Resort Hotel,September,Saturday,HB,IRL,Online TA,TA/TO,A,No Deposit,Transient,240.0,,0
47,2015,45,5,0,2,2,0,0,0,0,0,0,0,105.5,0,1,2,2,0,1,0,52.75,0.0,City Hotel,November,Thursday,BB,BEL,Online TA,TA/TO,B,No Deposit,Transient,9.0,,0
0,2016,18,28,0,0,2,0,0,1,0,0,0,0,0.0,0,1,0,2,0,1,0,0.0,0.0,City Hotel,April,Thursday,BB,PRT,Online TA,TA/TO,D,No Deposit,Transient,7.0,,0
21,2015,45,2,2,5,2,0,0,0,0,0,0,0,69.43,0,0,7,2,0,1,0,34.715,0.0,Resort Hotel,November,Monday,BB,FIN,Online TA,TA/TO,E,No Deposit,Transient,240.0,,0
295,2016,52,24,3,6,3,1,0,0,0,0,0,0,110.11,0,0,9,4,1,1,0,27.5275,0.0,Resort Hotel,December,Saturday,BB,GBR,Online TA,TA/TO,H,No Deposit,Transient,240.0,,1
175,2017,21,26,1,2,3,0,0,0,0,0,0,0,175.5,0,1,3,3,0,1,0,58.5,0.0,City Hotel,May,Friday,BB,DEU,Online TA,TA/TO,D,No Deposit,Transient,9.0,,1
142,2017,30,24,1,3,2,0,0,0,0,0,0,0,115.63,0,0,4,2,0,1,0,57.815,0.0,City Hotel,July,Monday,SC,CHE,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
7,2017,9,2,1,3,2,0,0,0,0,0,4,0,37.0,0,0,4,2,0,0,1,18.5,0.0,Resort Hotel,March,Thursday,BB,NLD,Groups,Corporate,A,No Deposit,Transient-Party,,223.0,0
103,2016,19,5,2,5,2,0,1,0,0,0,2,0,104.79,0,2,7,3,1,1,0,34.93,0.0,City Hotel,May,Thursday,BB,MAR,Direct,Direct,A,No Deposit,Transient,14.0,,1
58,2017,2,13,0,2,3,0,0,0,0,0,1,0,119.2,0,1,2,3,0,1,0,39.733333333333334,0.0,City Hotel,January,Friday,SC,ESP,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
36,2016,10,3,0,1,2,0,0,0,0,0,0,0,26.0,0,1,1,2,0,1,0,13.0,0.0,Resort Hotel,March,Thursday,BB,GBR,Offline TA/TO,TA/TO,A,No Deposit,Transient,6.0,,0
37,2016,11,7,1,3,2,0,0,0,0,0,0,0,83.9,0,1,4,2,0,1,0,41.95,0.0,City Hotel,March,Monday,BB,FRA,Online TA,TA/TO,A,No Deposit,Transient,9.0,,0
71,2015,33,11,2,5,2,0,0,0,0,0,0,0,87.9,0,2,7,2,0,1,0,43.95,0.0,Resort Hotel,August,Tuesday,BB,ESP,Online TA,TA/TO,A,No Deposit,Transient,147.0,,0
136,2017,34,21,2,5,2,1,0,0,0,0,0,0,240.91,0,0,7,3,1,1,0,80.30333333333333,0.0,Resort Hotel,August,Monday,FB,PRT,Online TA,TA/TO,A,No Deposit,Transient,175.0,,1
